"","File Name","Time (s) @ BFC","Back Knee Flexion @ BFC","Back Knee Extension Velocity @ BFC","COM (X) @ BFC","COM (Z) @ BFC","COM Velocity (X) @ BFC","COM Velocity (Z) @ BFC","Pelvis Rotation (Y) @ BFC","Trunk Rotation (Y) @ BFC","Trunk Flexion @ BFC","Shoulder Abduction @ BFC","Shoulder H Abduction @ BFC","Elbow Flexion @ BFC","Time (s) @ FFC","Stride Length (X) @ FFC","Stride Angle @ FFC","Back Knee Extension Velocity @ FFC","Front Knee Flexion @ FFC","Pelvis Rotation (Y) @ FFC","Trunk Rotation (Y) @ FFC","Trunk Flexion @ FFC","Shoulder Abduction @ FFC","Shoulder H Abduction @ FFC","Elbow Flexion @ FFC","COM (X) @ FFC","COM (Z) @ FFC","COM Velocity (X) @ FFC","COM Velocity (Z) @ FFC","Time (s) @ MAW","Front Knee Flexion @ MAW","Pelvis Rotation (Y) @ MAW","Trunk Rotation (Y) @ MAW","Shoulder Abduction @ MAW","Shoulder H Abduction @ MAW","Elbow Flexion @ MAW","Time (s) @ BR","Height @ BR","Front Knee Flexion @ BR","Front Knee Extension Velocity @ BR","Pelvis Rotation (Y) @ BR","Trunk Flexion @ BR","Trunk Rotation (Y) @ BR","Lateral Trunk Flexion @ BR","Shoulder Abduction @ BR","Shoulder H Abduction @ BR","Elbow Flexion @ BR","COM (X) @ BR","COM (Z) @ BR","COM Velocity (X) @ BR","COM Velocity (Z) @ BR","Hand COM (X) @ BR","Hand COM (Z) @ BR","Front Knee Extension Velocity (max)","Pelvis Rotation Velocity (max)","Trunk Rotation Velocity (max)","Trunk Flexion Velocity (max)","Trunk Flexion (max)","Shoulder Rotation Velocity (max)","Elbow Flexion (max)","Shoulder Rotation (max)","Elbow Extension Velocity (max)","Forearm Pronation (max)","COM Displacement (X) - stride","COM Displacement (X) - action","COM Displacement (X) - total","COM Displacement (Z) - stride","COM Displacement (Z) - action","COM Displacement (Z) - total","Δ COM Velocity (X) - stride","Δ COM Velocity (X) - action","Δ COM Velocity (X) - total","Δ COM Velocity (Z) - stride","Δ COM Velocity (Z) - action","Δ COM Velocity (Z) - total","Stretch (%height)","Span (%height)","Follow-Through (ms)"
"1","KOT001bl_throw1_rap1 - KOT_RH (6Hz)",0.68,-43.757252,-38.075852,-1.171652,-0.361316,2.361476,0.405005,-75.134765,-71.81218,2.734636,49.761973,-15.463047,52.243758,0.98,0.58898,4.185208,12.410628,-29.750283,-67.638662,-73.328035,-0.422953,77.794364,-36.798353,95.546338,-0.439634,-0.311017,2.720034,0.061411,0.97,-27.994333,-69.177962,-74.92502,77.459661,-36.063028,95.579019,1.17,1.85,-38.840774,163.318376,-7.288332,-24.884414,3.115762,-28.014525,97.50304,30.786942,82.852431,-0.025958,-0.310529,1.535951,-0.061059,0.328302,-0.020167,467.876895,406.431939,513.175364,181.821883,3.414343,4286.464898,95.579019,-137.543854,-1204.137224,-47.211001,0.732018,0.413676,1.145694,0.050299,0.000487999999999988,0.050787,0.358558,-1.184083,-0.825525,-0.343594,-0.12247,-0.466064,0.191491891891892,0.156952432432432,0.24
"2","KOT001bl_throw11_rap11 - KOT_RH (6Hz)",0.73,-39.245919,-106.165903,-1.104217,-0.298693,2.390433,0.0965,-74.845919,-73.144129,1.713081,57.30626,-19.083205,82.464204,0.98,0.598032,4.922566,11.618952,-28.096076,-63.259348,-68.059502,-5.940141,77.521781,-43.153564,99.530239,-0.471001,-0.291285,2.688495,-0.03323,0.91,-27.256322,-73.188798,-77.706293,76.435181,-41.716602,105.610001,1.12,1.85,-42.900275,80.379352,-17.771542,-23.84833,-7.954991,-26.211193,95.889975,25.837869,91.012052,-0.148974,-0.304004,1.737795,-0.188606,-0.06784,-0.012082,468.403839,374.428162,499.564521,175.652377,1.946503,3596.274047,105.610001,-132.780575,-3277.873994,-28.460709,0.633216,0.322027,0.955243,0.00740799999999997,-0.012719,-0.00531100000000001,0.298062,-0.9507,-0.652638,-0.12973,-0.155376,-0.285106,0.0438562162162162,0.157795675675676,0.27
"3","KOT001bl_throw12_rap12 - KOT_RH (6Hz)",0.67,-34.227192,-95.236364,-1.200579,-0.405773,2.38259,0.241443,-63.064531,-71.079789,0.754292,56.907716,-11.583211,47.901696,0.98,0.591634,6.572479,-3.302791,-26.193523,-61.967984,-68.36042,-6.197986,67.131202,-37.215629,102.722397,-0.418582,-0.358306,2.83906,0.200202,0.96,-22.726373,-64.896331,-71.623632,66.661203,-35.521471,98.599177,1.16,1.85,-36.89331,189.179631,-6.512482,-34.446085,-1.292671,-30.177932,97.850596,35.897169,61.914089,0.00427,-0.341105,1.802932,0.015889,0.418774,-0.028997,437.453049,395.923716,495.147145,195.750391,1.903061,3810.307753,111.507679,-136.05189,-580.433189,-48.108153,0.781997,0.422852,1.204849,0.047467,0.017201,0.064668,0.45647,-1.036128,-0.579658,-0.041241,-0.184313,-0.225554,0.224056216216216,0.168707027027027,0.26
"4","KOT001bl_throw14_rap14 - KOT_RH (6Hz)",0.75,-37.980988,-56.843483,-1.011379,-0.355773,2.467182,0.140912,-70.17946,-67.824578,-0.528336,56.636349,-12.857632,63.831495,0.98,0.57409,6.261863,19.499856,-27.955134,-65.57513,-70.863241,-5.465036,70.964658,-31.054536,96.074829,-0.423983,-0.334349,2.756967,0.063005,0.98,-27.955134,-65.57513,-70.863241,70.964658,-31.054536,96.074829,1.17,1.85,-42.264493,149.245941,-7.792261,-31.306604,-3.225839,-30.3544,96.472553,32.236517,73.712402,0.01906,-0.330594,1.759487,0.027501,0.39716,-0.049128,468.102083,395.495131,468.298448,207.220123,-0.476327,3602.854574,96.862359,-138.317089,-993.350101,-21.899561,0.587396,0.443043,1.030439,0.021424,0.00375500000000001,0.025179,0.289785,-0.99748,-0.707695,-0.077907,-0.035504,-0.113411,0.204378378378378,0.152143783783784,0.26
"5","KOT001bl_throw15_rap15 - KOT_RH (6Hz)",0.72,-38.504842,-88.206387,-1.082545,-0.364795,2.396273,0.22323,-69.13558,-75.015165,0.839845,58.25042,-17.628361,57.232547,0.99,0.575291,12.986681,22.167387,-32.140532,-62.394693,-66.242895,-5.490222,77.412866,-35.068849,97.851579,-0.411671,-0.322747,2.649922,0.138708,0.93,-23.505133,-71.725297,-77.115135,75.248213,-31.309287,98.183735,1.15,1.85,-41.636475,150.519744,-12.629285,-28.236595,-1.945595,-28.530756,97.339884,30.678966,74.452871,-0.064374,-0.323766,1.618994,-0.075652,0.309506,-0.070061,446.119059,361.979176,492.97206,212.425744,1.50397,5668.685428,98.962586,-134.963087,-1100.181674,-41.146695,0.670874,0.347297,1.018171,0.042048,-0.00101899999999999,0.041029,0.253649,-1.030928,-0.777279,-0.084522,-0.21436,-0.298882,0.202097297297297,0.137137837837838,0.25
"6","KOT001bl_throw16_rap16 - KOT_RH (6Hz)",0.72,-34.492923,-97.146559,-1.130059,-0.359172,2.389772,0.122617,-60.719603,-68.293192,-1.063306,52.788923,-7.293328,55.575197,0.98,0.590211,2.944814,38.310008,-26.020765,-63.191552,-72.632567,-6.486458,71.621804,-38.109709,95.749539,-0.487685,-0.348355,2.679369,0.021365,0.98,-26.020765,-63.191552,-72.632567,71.621804,-38.109709,95.749539,1.18,1.85,-43.68409,130.727752,-5.794617,-33.459334,-1.133308,-32.00198,97.228061,32.034321,71.259854,-0.036171,-0.357134,1.694569,-0.076649,0.389527,-0.080158,461.7731,387.768528,497.862396,211.188183,-1.004197,4264.906833,96.064574,-147.938793,-857.298579,-35.532927,0.642374,0.451514,1.093888,0.010817,-0.00877899999999998,0.00203799999999998,0.289597,-0.9848,-0.695203,-0.101252,-0.098014,-0.199266,0.230107027027027,0.149716756756757,0.25
"7","KOT001bl_throw18_rap18 - KOT_RH (6Hz)",0.74,-31.716403,-83.438571,-0.990162,-0.329963,2.346291,0.093797,-69.758083,-68.848978,-3.500438,51.206201,-7.765943,66.966186,0.97,0.621358,9.45303,5.169327,-14.750682,-64.333321,-73.438998,-6.575092,78.228477,-30.364965,95.715012,-0.425112,-0.320921,2.732333,0.025001,0.96,-14.166508,-65.356342,-74.283146,78.087615,-29.759986,95.844779,1.18,1.85,-32.413827,150.347205,-8.54577,-31.372344,-3.058318,-28.47318,101.178174,36.975484,61.928252,0.058656,-0.330202,1.714312,-0.051517,0.477439,-0.029372,484.439764,353.827426,444.480592,186.82315,-3.457177,3298.489983,95.876324,-137.911633,-588.391099,-24.778718,0.56505,0.483768,1.048818,0.00904199999999999,-0.00928099999999998,-0.000238999999999989,0.386042,-1.018021,-0.631979,-0.068796,-0.076518,-0.145314,0.226369189189189,0.162610810810811,0.24
"8","KOT001bl_throw2_rap2 - KOT_RH (6Hz)",0.71,-38.150928,-23.366089,-1.159888,-0.354834,2.305548,0.282663,-71.957803,-75.267859,5.480633,54.799327,-18.776359,52.629737,0.99,0.599582,15.210867,48.59905,-27.171046,-67.763228,-74.357232,-0.469682,77.170152,-35.081926,96.924655,-0.489384,-0.305539,2.646262,0.143096,0.99,-27.171046,-67.763228,-74.357232,77.170152,-35.081926,96.924655,1.18,1.85,-33.903657,195.506712,-13.4771,-29.875409,-1.649538,-24.9424,101.001279,31.712373,70.504394,-0.075823,-0.310385,1.583947,-0.111808,0.320476,-0.021723,437.902979,357.835812,491.538911,179.906944,5.554582,3417.411652,99.60272,-137.551158,-762.867684,-48.517424,0.670504,0.413561,1.084065,0.049295,-0.00484600000000002,0.044449,0.340714,-1.062315,-0.721601,-0.139567,-0.254904,-0.394471,0.214215675675676,0.156033513513514,0.24
"9","KOT001bl_throw3_rap3 - KOT_RH (6Hz)",0.69,-36.864708,-79.042629,-1.132119,-0.378079,2.434348,0.289439,-70.9798,-71.746331,2.138575,54.773119,-11.452478,40.148433,0.99,0.586835,8.92285,-24.772139,-32.946313,-60.060103,-62.524509,-5.090213,78.241913,-37.052816,98.174454,-0.377937,-0.323994,2.695371,0.115319,0.95,-25.971373,-67.68409,-73.411251,76.973063,-35.106047,96.863418,1.14,1.85,-39.226428,145.806049,-10.639266,-28.272364,-2.04603,-29.277028,97.449961,28.107241,57.949481,-0.050592,-0.320966,1.575615,-0.128107,0.290107,-0.003971,446.770815,376.953978,523.194737,190.509289,2.895623,3502.235332,98.360508,-147.372966,-1335.009466,-56.539014,0.754182,0.327345,1.081527,0.054085,0.00302800000000003,0.057113,0.261023,-1.119756,-0.858733,-0.17412,-0.243426,-0.417546,0.184161621621622,0.171348648648649,0.25
"10","KOT001bl_throw4_rap4 - KOT_RH (6Hz)",0.68,-30.187073,-126.149718,-1.197214,-0.359648,2.333615,0.212562,-64.299546,-74.069979,2.928692,57.302225,-13.176817,49.854181,0.98,0.575496,2.363212,42.382742,-30.468464,-67.335611,-76.709456,0.017139,81.669493,-37.984394,101.314523,-0.490528,-0.333936,2.637253,0.031855,0.97,-28.727644,-68.403895,-77.671388,81.517828,-37.454057,101.430762,1.19,1.85,-39.586038,173.527387,-10.341151,-27.455862,-1.307501,-23.74937,103.968378,37.862198,62.215566,-0.027376,-0.340859,1.591578,-0.016248,0.357592,-0.021534,416.203081,372.732869,497.391453,176.802776,4.750805,4018.293893,101.430762,-141.005922,-599.813059,-34.55253,0.706686,0.463152,1.169838,0.025712,-0.00692300000000001,0.018789,0.303638,-1.045675,-0.742037,-0.180707,-0.048103,-0.22881,0.208090810810811,0.172608108108108,0.25
